[0.030431750864031173, 0.17438400521076136]
[0.06889291106444541, 0.27554515040171546]
[0.029663056513522457, 0.005691123104700333]
[0.02135939456860389, 0.03503045482725065]
[0.13236248763839445, 0.0842870347038812]
[0.001458187079885484, 0.079759331181295]
[0.03604074469050646, 0.03824858507115072]
[0.0013847779947569836, 0.01597035104370471]
[0.12872756818688916, 0.0013991692205969652]
[0.1198818006386337, 0.14205740684519072]
[0.23195830797732553, 0.036494222815563054]
[0.052517740081687664, 0.18622924767022525]


[0.0013551111420889187, 0.12536390200644273]
[0.1433860334874487, 0.05379279072379544]
[0.006714988726474485, 0.10761482302082184]
[0.19107651474196505, 0.030368385201932066]
[0.04706413194713945, 0.235853824613872]
[0.20088382109548308, 0.021444199799941853]
[0.011463972679728361, 0.014323272365823703]
[0.004907867853082157, 0.049341187781486745]
[0.07930326742289721, 0.1488065192864794]
[0.005496121297273879, 0.0571518034487096]
[0.09314564876932618, 0.05632273706925044]
[0.04478133121366598, 0.0729229610380674]
